threshold,precision,recall,f1_score,tp,fp,tn,fn
0.1,0.1389496717724289,0.8581081081081081,0.2391713747645951,127,787,84508,21
0.2,0.44802867383512546,0.8445945945945946,0.585480093676815,125,154,85141,23
0.3,0.6237113402061856,0.8175675675675675,0.7076023391812866,121,73,85222,27
0.4,0.7662337662337663,0.7972972972972973,0.7814569536423841,118,36,85259,30
0.5,0.837037037037037,0.7635135135135135,0.7985865724381626,113,22,85273,35
